Date,Electricity,Gas,,qef
20160101,14.15628738,11.61508214,gdfg,
20160102,15.58629475,15.22794902,,
20160103,11.01402819,18.28706936,,
20160104,12.03746189,11.88978752,,sdf
20160105,121.7830672,224.8708169,,
20160106,13.55308824,13.80710021,,
20160107,15.72778027,12.42919461,,
20160108,13.23427155,15.51667566,,
20160109,14.22037905,12.53984462,,
20160110,12.16832699,11.56806315,,
20160111,261.8622435,12.83778992,,
20160112,16.03959395,15.42098215,,
20160113,15.68340249,12.53242955,,
20160114,200.1334655,10.35402018,,
20160115,245.3052335,12.31533025,,
20160116,14.36241427,16.61454725,,
20160117,9.336543474,213.9109471,,
20160118,144.4517825,196.3034627,,
20160119,13.67913883,11.65159828,,
20160120,13.73425782,192.7606306,,
20160121,15.9864546,13.81394528,,
20160122,14.31882893,12.57959625,,
20160123,16.86971112,17.25634762,,
20160124,11.60158851,18.13485763,,
20160125,12.96116806,12.6780101,,
20160126,13.34725224,17.48510965,,
20160127,14.84591544,16.1153367,,
20160128,11.57637521,13.18090897,,
20160129,14.45212455,7.153202412,,
20160130,11.43049924,15.28847425,,
20160131,16.52486727,14.98265068,,
20160201,13.34028115,158.3259478,,
20160202,153.7077333,13.02986441,,
20160203,11.66207235,12.60601331,,
20160204,13.17739841,12.13990291,,
20160205,11.86192056,149.1214746,,
20160206,11.92232114,10.51072807,,
20160207,159.5438447,10.18575726,,
20160208,102.6778827,13.73924253,,
20160209,13.56735334,89.65494385,,
20160210,151.781972,13.10368416,,
20160211,9.865827464,15.84961745,,
20160212,12.90492353,13.38083134,,
20160213,84.22494264,13.7877689,,
20160214,95.83101437,197.0716847,,
20160215,140.1214066,14.59039298,,
20160216,13.33346549,11.9516569,,
20160217,13.49081173,9.655653506,,
20160218,11.08305694,13.13054908,,
20160219,9.927813211,13.05537641,,
20160220,13.44943435,12.97245404,,
20160221,164.7593776,9.723130992,,
20160222,9.977001949,13.71769424,,
20160223,10.85584,12.31523855,,
20160224,11.19177116,94.51496846,,
20160225,12.52675656,12.13673938,,
20160226,9.229717932,12.48053874,,
20160227,13.02041985,140.1817286,,
20160228,11.2848703,12.36197536,,
20160229,11.59297974,12.69144774,,
20160301,11.72710147,11.4892745,,
20160302,9.612681413,9.464438519,,
20160303,10.82231496,116.1999735,,
20160304,9.820718048,8.812224719,,
20160305,79.7276933,10.14417538,,
20160306,124.2377161,10.84598229,,
20160307,8.837626774,10.59673794,,
20160308,10.19779951,8.637757234,,
20160309,74.92728432,9.975672234,,
20160310,10.08453358,10.83351374,,
20160311,10.55065567,9.379870119,,
20160312,8.854736106,11.16635922,,
20160313,10.07451407,10.59248315,,
20160314,10.76220116,10.23313711,,
20160315,11.30519835,10.11555511,,
20160316,10.36242603,9.973875619,,
20160317,9.163566112,10.76804478,,
20160318,10.38419595,11.37540939,,
20160319,10.48657962,9.969490757,,
20160320,9.972754441,10.19876996,,
20160321,84.03000424,10.19795062,,
20160322,10.39340167,10.09219574,,
20160323,9.914080225,11.43997295,,
20160324,10.57930547,9.336317844,,
20160325,97.70732329,8.551609242,,
20160326,11.02144484,10.69959743,,
20160327,9.397628701,8.682498975,,
20160328,95.57245622,9.306842361,,
20160329,10.0420479,9.96682423,,
20160330,9.292754358,8.660785414,,
20160331,9.167775688,9.304199013,,
20160401,112.6798381,10.60157348,,
20160402,12.311416,10.01953881,,
20160403,9.848488437,9.164684528,,
20160404,11.68629255,10.26942769,,
20160405,8.425867654,9.07746962,,
20160406,11.28936141,9.716667438,,
20160407,9.690481318,9.790770224,,
20160408,7.379551229,9.077829524,,
20160409,10.62946008,8.158195005,,
20160410,9.074949892,10.83984507,,
20160411,8.203782256,8.178778556,,
20160412,8.203803196,7.044750931,,
20160413,8.505374467,95.56147071,,
20160414,9.70314339,10.14023553,,
20160415,10.33166962,9.970736658,,
20160416,9.311007278,8.771739188,,
20160417,11.25142963,10.37591458,,
20160418,9.19090775,10.11895405,,
20160419,59.95722226,8.701984804,,
20160420,8.490044683,8.707801992,,
20160421,10.78820055,10.08653479,,
20160422,9.767737856,10.622491,,
20160423,11.18271018,8.334167509,,
20160424,6.949098984,8.566756047,,
20160425,8.200069003,97.76488445,,
20160426,8.581096724,7.255011517,,
20160427,9.978755735,10.53418093,,
20160428,9.264389411,10.03463018,,
20160429,9.833477247,68.12800919,,
20160430,8.63192557,47.12578959,,
20160501,5.612975541,43.06387713,,
20160502,32.07316961,6.443878181,,
20160503,7.728607895,6.359262511,,
20160504,8.707851615,5.514257063,,
20160505,5.144645744,4.766893432,,
20160506,41.65388529,27.24186462,,
20160507,5.207033418,8.139536314,,
20160508,6.634950455,6.44801829,,
20160509,70.82479184,7.492633628,,
20160510,4.378928144,6.012887192,,
20160511,6.417174448,7.641283102,,
20160512,7.088410083,4.697989495,,
20160513,5.506390683,7.525032027,,
20160514,4.646389624,5.897289522,,
20160515,3.27233734,4.928655635,,
20160516,4.414755954,5.324773083,,
20160517,33.75119583,7.459130671,,
20160518,5.751444989,25.71543062,,
20160519,5.979351386,4.993795516,,
20160520,37.79857446,6.108109446,,
20160521,5.922032074,7.313408771,,
20160522,6.218979943,4.977009492,,
20160523,5.61249721,6.436498088,,
20160524,5.107391566,7.114580943,,
20160525,6.834497496,50.58228709,,
20160526,5.450311417,5.967695394,,
20160527,6.007115058,5.57830114,,
20160528,4.928298293,6.986412417,,
20160529,7.942817762,5.382785891,,
20160530,6.254466999,6.739919965,,
20160531,6.342095398,7.162429502,,
20160601,8.37016527,10.18323617,,
20160602,9.868347706,13.26392752,,
20160603,7.823038582,11.90469644,,
20160604,12.59885915,11.29955308,,
20160605,9.790498703,93.49513939,,
20160606,9.34751555,9.528943343,,
20160607,11.66727109,12.31906063,,
20160608,6.067980649,56.23471856,,
20160609,5.965954536,90.03379279,,
20160610,11.40570422,8.537264912,,
20160611,9.662267476,10.53230171,,
20160612,11.87251178,12.55475267,,
20160613,11.32309487,11.19659902,,
20160614,12.97616392,9.360090571,,
20160615,10.07911613,10.6006087,,
20160616,8.424555291,10.70709946,,
20160617,9.754653396,9.010725109,,
20160618,9.756266079,8.967762265,,
20160619,8.107413509,10.43815409,,
20160620,6.211602352,12.98312381,,
20160621,105.5678024,6.837572636,,
20160622,8.538192934,160.3526334,,
20160623,11.05679607,8.633852218,,
20160624,130.3121746,103.9709999,,
20160625,10.49768072,117.3398706,,
20160626,11.26456553,11.2744728,,
20160627,12.0533166,12.31345539,,
20160628,11.53566503,9.656389155,,
20160629,10.80060554,8.521367528,,
20160630,111.8319296,8.373042337,,
20160701,5.148433895,4.548475779,,
20160702,1.28535963,3.000317871,,
20160703,3.8955621,3.961534024,,
20160704,11.19315352,5.039451549,,
20160705,4.401658273,5.327990134,,
20160706,2.670387649,5.164973381,,
20160707,3.159657703,3.630801436,,
20160708,4.391117419,6.132589114,,
20160709,4.00003864,6.18597349,,
20160710,5.126522313,19.81030925,,
20160711,3.472649483,20.88247866,,
20160712,4.424985864,5.038832522,,
20160713,7.852241983,4.068221218,,
20160714,2.930508568,4.676478878,,
20160715,4.97894849,3.727621093,,
20160716,4.2254947,21.30571217,,
20160717,3.724356827,3.49170016,,
20160718,2.832411206,4.019476578,,
20160719,5.955061826,3.429454091,,
20160720,3.306491941,1.590780899,,
20160721,4.398826956,2.66718627,,
20160722,3.779646032,3.154712353,,
20160723,3.409370813,45.37867134,,
20160724,4.104891901,4.020271303,,
20160725,2.52663488,14.31745732,,
20160726,3.238777251,5.124012005,,
20160727,3.834684797,2.919192484,,
20160728,3.219871362,2.502819059,,
20160729,20.7895512,3.687723728,,
20160730,3.605065726,3.74170652,,
20160731,3.844913537,4.563623991,,
20160801,4.081148225,2.716434486,,
20160802,4.334326936,3.458906335,,
20160803,40.61743937,4.532827969,,
20160804,5.44135922,4.782428085,,
20160805,4.207958838,6.427370849,,
20160806,5.791092076,2.166148622,,
20160807,4.636768064,4.870358312,,
20160808,3.405321243,24.86977633,,
20160809,4.92095668,4.485619449,,
20160810,5.147896998,5.618162784,,
20160811,4.301327631,6.471540356,,
20160812,5.761460911,6.58381231,,
20160813,4.47708547,4.836334263,,
20160814,3.421222448,4.695643545,,
20160815,4.116493223,5.362335367,,
20160816,5.231632667,3.700658371,,
20160817,5.60442832,4.121017944,,
20160818,6.551789121,4.341829703,,
20160819,5.019800237,6.764702203,,
20160820,5.9537796,19.51212455,,
20160821,6.352312066,4.504226401,,
20160822,3.558885223,3.379392612,,
20160823,4.693356156,4.455189055,,
20160824,2.740234818,15.01225279,,
20160825,5.595160673,36.54555866,,
20160826,5.916932569,45.03576859,,
20160827,6.479793136,5.109996089,,
20160828,5.530352439,4.361016339,,
20160829,3.454216468,5.315957562,,
20160830,4.427387862,3.392464854,,
20160831,3.994705254,4.402568645,,
20160901,5.214267679,6.559126679,,
20160902,7.348464154,43.66897636,,
20160903,7.696904044,6.201121045,,
20160904,7.296868345,6.467827636,,
20160905,7.491202574,8.921628796,,
20160906,42.26952357,6.67382002,,
20160907,4.99805213,7.480682597,,
20160908,6.167815974,62.9370905,,
20160909,59.39647569,7.066739403,,
