Date,Badfield
20160101,10.29018087
20160102,14.24398651
20160103,18.18933188
20160104,12.27206567
20160105,12.83662382
20160106,11.72305446
20160107,13.33222276
20160108,15.14015807
20160109,17.18790838
20160110,11.27976138
20160111,13.94688365
20160112,13.87972527
20160113,15.41794723
20160114,14.05422493
20160115,13.96417984
20160116,14.5693274
20160117,14.38589264
20160118,16.66979233
20160119,14.9459298
20160120,18.14813742
20160121,14.44974632
20160122,13.77305287
20160123,13.27634896
20160124,14.56029189
20160125,11.20837899
20160126,12.85199341
20160127,12.7310099
20160128,11.51885867
20160129,16.42029066
20160130,16.90257386
20160131,14.71545523
20160201,14.80717317
20160202,15.05107431
20160203,13.85927225
20160204,13.06735104
20160205,11.62840925
20160206,11.34280361
20160207,11.07421495
20160208,9.486134883
20160209,11.12250814
20160210,11.83763258
20160211,15.85294103
20160212,12.19446915
20160213,13.14909015
20160214,12.12484913
20160215,10.59955812
20160216,10.59041668
20160217,11.89790906
20160218,12.29443009
20160219,9.228537709
20160220,11.86198713
20160221,12.24526968
20160222,13.44901262
20160223,13.71469736
20160224,10.89940523
20160225,11.25701921
20160226,11.08262358
20160227,11.2697238
20160228,11.40066981
20160229,12.93375973
20160301,10.65966254
20160302,9.106831405
20160303,8.814515286
20160304,9.576235232
20160305,10.62290858
20160306,11.11241704
20160307,9.777051837
20160308,10.60942824
20160309,9.865111189
20160310,11.35730134
20160311,9.378096177
20160312,12.10429635
20160313,8.687902067
20160314,9.537155164
20160315,9.135556817
20160316,9.854303176
20160317,10.27779918
20160318,9.779516292
20160319,10.16452459
20160320,8.319677047
20160321,8.684821682
20160322,9.290878473
20160323,10.71968648
20160324,10.60517993
20160325,9.225711615
20160326,9.790362064
20160327,11.17503305
20160328,9.659280066
20160329,10.36785943
20160330,10.39177471
20160331,9.898168163
20160401,7.884833302
20160402,10.48398448
20160403,10.41826291
20160404,8.901707023
20160405,7.46206857
20160406,8.797034121
20160407,9.607624335
20160408,8.855939617
20160409,8.915085008
20160410,7.870906142
20160411,11.07986849
20160412,10.08055091
20160413,116.5933759
20160414,9.000508929
20160415,6.715017761
20160416,9.731446845
20160417,8.818248383
20160418,8.927067355
20160419,7.857836693
20160420,6.370473177
20160421,10.43248401
20160422,7.823597111
20160423,11.43302403
20160424,8.251729941
20160425,9.679253898
20160426,10.96780901
20160427,8.477287429
20160428,5.427442939
20160429,9.019891237
20160430,9.254361747
20160501,6.622369533
20160502,5.793202477
20160503,6.807549582
20160504,6.143188881
20160505,5.388759881
20160506,7.398649608
20160507,4.840699422
20160508,6.183200097
20160509,8.056381749
20160510,2.651495766
20160511,5.685273344
20160512,5.926237559
20160513,5.494303632
20160514,5.958186199
20160515,7.03996037
20160516,7.416774773
20160517,6.388685692
20160518,6.998344012
20160519,4.8891946
20160520,4.49062587
20160521,8.104846664
20160522,6.782873973
20160523,5.472803312
20160524,5.191664149
20160525,5.447271198
20160526,5.463196239
20160527,5.726529191
20160528,4.683401268
