Date,Gas
20160101,12.45941786
20160102,194.3671858
20160103,12.4802709
20160104,14.05392547
20160105,16.00056033
20160106,10.62977274
20160107,12.43900042
20160108,13.31363676
20160109,199.9170876
20160110,15.80706678
20160111,14.64337897
20160112,15.71806109
20160113,11.12533806
20160114,13.05955329
20160115,229.3527147
20160116,174.7050386
20160117,157.4074994
20160118,217.6095751
20160119,14.02158677
20160120,12.65487445
20160121,12.82405555
20160122,124.0988719
20160123,15.45511055
20160124,248.8656838
20160125,9.155385195
20160126,13.80140879
20160127,12.35320028
20160128,14.42065128
20160129,13.57565926
20160130,13.04071865
20160131,16.96023248
20160201,12.42508332
20160202,114.1390729
20160203,195.9450899
20160204,12.90463549
20160205,15.00575983
20160206,10.97506081
20160207,8.146171727
20160208,172.293272
20160209,13.13826866
20160210,9.429423204
20160211,11.34254878
20160212,9.875547092
20160213,13.96740631
20160214,12.01930665
20160215,10.23540508
20160216,10.83792895
20160217,11.90786065
20160218,131.347412
20160219,12.72331383
20160220,13.25799244
20160221,11.84141632
20160222,10.91006129
20160223,11.93960019
20160224,12.66075967
20160225,13.62282792
20160226,11.95111235
20160227,9.965243413
20160228,125.2579195
20160229,10.62826836
20160301,10.16496943
20160302,9.466217777
20160303,10.07804831
20160304,9.179291541
20160305,9.673733757
20160306,10.06288723
20160307,9.558419822
20160308,9.440104347
20160309,137.5436679
20160310,9.991554379
20160311,11.17859071
20160312,10.54455886
20160313,9.324513606
20160314,98.78916067
20160315,9.666450887
20160316,10.59708418
20160317,11.27108357
20160318,10.76846135
20160319,9.271397702
20160320,10.16014683
20160321,10.81110627
20160322,9.604349968
20160323,106.5077203
20160324,10.12450144
20160325,9.122638345
20160326,141.6537054
20160327,11.14140828
20160328,11.0909926
20160329,10.81533432
20160330,10.59306872
20160331,8.717717416
20160401,11.364757
20160402,7.65575144
20160403,9.817256904
20160404,8.9885015
20160405,7.652315483
20160406,7.721284382
20160407,8.408622435
20160408,7.947389789
20160409,10.04553542
20160410,8.410460794
20160411,7.522433681
20160412,40.29884625
20160413,10.15306376
20160414,53.627623
20160415,7.626723642
20160416,6.769977762
20160417,8.214762444
20160418,9.29926387
20160419,9.031089165
20160420,7.727344964
20160421,9.059338487
20160422,9.244651545
20160423,9.992333387
20160424,10.14974797
20160425,10.15657781
20160426,69.64425102
20160427,7.875179291
20160428,5.503126408
20160429,7.639989662
20160430,7.358763872
20160501,5.035707347
20160502,7.128960355
20160503,5.142205394
20160504,6.540151092
20160505,6.36877969
20160506,5.320657511
20160507,5.287019964
20160508,31.36627384
20160509,5.686031537
20160510,4.289831364
20160511,6.314282668
20160512,5.052598634
20160513,6.157861573
20160514,6.148648695
20160515,7.358641631
20160516,4.29002305
20160517,3.993387603
20160518,6.514629206
20160519,6.814065474
20160520,6.339264344
20160521,3.727436728
20160522,5.59115742
20160523,7.818981207
20160524,4.82766112
20160525,4.472685784
20160526,4.792972045
20160527,4.202905274
20160528,5.307480213
20160529,4.74795778
20160530,23.70681148
20160531,5.579749974
20160601,9.323303105
20160602,8.720962303
20160603,8.656312134
20160604,142.3469984
20160605,6.498686268
20160606,9.560366744
20160607,9.071665971
20160608,11.18205178
20160609,13.02309341
20160610,10.92214723
20160611,9.578665777
20160612,9.444285948
20160613,9.5798404
20160614,9.155406895
20160615,9.412385033
20160616,9.205332856
20160617,115.677843
20160618,11.26369675
20160619,84.63108126
20160620,10.92752091
20160621,95.23397683
20160622,10.22863478
20160623,8.776455543
20160624,7.369485374
20160625,11.10034602
20160626,14.43609637
20160627,193.4764802
20160628,12.36824832
20160629,10.57984018
20160630,8.297986317
20160701,4.145966345
20160702,4.173855545
20160703,2.7986401
20160704,2.540911852
20160705,3.915973056
20160706,4.100195692
20160707,3.886796721
20160708,3.415054672
20160709,3.350403511
20160710,3.192797301
20160711,3.686155526
20160712,4.105330893
20160713,4.087305267
20160714,1.573231748
20160715,3.455566505
20160716,4.179976784
20160717,4.021343583
20160718,9.134285844
20160719,4.369032459
20160720,3.822124399
20160721,3.317083932
20160722,3.940870232
20160723,2.56730055
20160724,3.397957001
20160725,9.569990498
20160726,3.835535317
20160727,3.445261017
20160728,4.096212068
20160729,4.399177026
20160730,3.825859507
20160731,2.5580654
20160801,3.645404098
20160802,5.305971693
20160803,5.992453642
20160804,5.547177401
20160805,4.928371863
20160806,5.083755109
20160807,5.813465279
20160808,5.818009431
20160809,5.784177858
20160810,6.304797655
20160811,4.7187546
20160812,3.308332705
20160813,6.939582124
20160814,5.927826643
20160815,9.807884231
20160816,4.310805806
20160817,4.2737878
20160818,5.236957647
20160819,3.140284999
20160820,7.215952183
20160821,4.722053015
20160822,3.481734779
20160823,5.146048578
20160824,7.19561361
20160825,4.804502274
20160826,5.572771977
20160827,5.121654415
20160828,3.654902377
20160829,3.35821934
20160830,4.782421319
20160831,4.860949028
20160901,6.759038957
20160902,5.610986665
20160903,6.173615194
20160904,6.088560365
20160905,53.75472461
20160906,7.368230512
20160907,5.747412006
20160908,6.599701661
20160909,8.015257876
20160910,55.53794687
20160911,8.092334227
20160912,6.622712105
20160913,8.233617613
20160914,8.1824227
20160915,7.528408003
20160916,6.338892166
20160917,7.036964373
20160918,7.425050325
20160919,7.416802235
20160920,5.772111147
20160921,8.367693385
20160922,6.92584343
20160923,6.286953747
20160924,6.748820246
20160925,7.05856414
20160926,53.08956822
20160927,8.292662813
20160928,5.996378283
20160929,6.745722344
20160930,7.80499644
20161001,11.35732671
20161002,11.32710751
20161003,7.444076839
20161004,11.19485431
20161005,11.48114534
20161006,10.94465632
20161007,11.80594729
20161008,11.08943826
20161009,12.66917856
20161010,11.36394816
20161011,10.88649638
20161012,12.18671089
20161013,12.56876789
20161014,106.2778345
20161015,11.47101141
20161016,11.968955
20161017,13.8783506
20161018,10.20604257
20161019,13.28355456
20161020,11.90354853
20161021,13.03739759
20161022,12.41343108
20161023,65.38680107
20161024,10.49677119
20161025,8.27673815
20161026,12.82767428
20161027,10.5434863
20161028,167.7854537
20161029,10.08796565
20161030,137.2964703
20161031,9.820433008
20161101,12.19203376
20161102,114.0907227
20161103,12.648622
20161104,13.76025794
20161105,11.26591037
20161106,13.70704973
20161107,10.09665422
20161108,12.12327389
20161109,11.84156402
20161110,11.20926311
20161111,10.09551195
20161112,12.54437257
20161113,11.49841686
20161114,150.7289891
20161115,11.68379444
20161116,12.34026882
20161117,11.88746608
20161118,11.92864692
20161119,12.30201912
20161120,12.1499757
20161121,12.7763384
20161122,12.09549146
20161123,12.99357486
20161124,10.28443804
20161125,12.54671004
20161126,12.23981669
20161127,12.40216034
20161128,13.27412916
20161129,11.02567422
20161130,12.51900294
20161201,82.72464714
20161202,9.299679677
20161203,9.492335281
20161204,10.18356144
20161205,10.44945461
20161206,10.07630709
20161207,11.09125474
20161208,9.461531541
20161209,113.0064505
20161210,9.661122676
20161211,9.981458191
20161212,8.436264438
20161213,9.203762079
20161214,10.28288445
20161215,11.06793475
20161216,9.281148569
20161217,9.69452657
20161218,10.05039312
20161219,11.78579545
20161220,9.770928727
20161221,11.47985627
20161222,9.872039173
20161223,10.45961225
20161224,9.412357805
20161225,9.712213329
